Appliances Current Profile of single day,,,
Air Conditioner,Electric Kettle,Electric Iron,Water Dispensor
-0.010060113,0.241308735,0.459860057,0.126372993
0.04351228,-0.112542544,-0.310457844,-0.13810135
-0.069362688,0.353795333,0.356634819,0.073848948
-0.018578098,-0.029145946,0.011608309,-0.035226178
0.060376534,-0.011643446,0.241127381,-0.1528204
0.11021705,0.288209811,-0.109767369,-0.100644945
-0.030643795,-0.402168416,0.060032698,-0.081990204
-0.195869879,-0.0059161,-0.353780145,-0.093833658
-0.027086979,-0.093447542,0.016289297,-0.162540061
-0.085209239,-0.44866337,0.020250918,-0.067552441
-0.009753027,0.207639221,-0.451042523,0.019496744
0.155526012,0.231929598,0.363521675,-0.021531797
0.004453034,0.075448522,-0.3011182,-0.046669213
0.114252648,-0.14833381,0.242353468,0.058254844
0.054013929,0.187020416,-0.022999551,-0.030022349
0.09035076,0.270348007,0.258297218,-0.140799706
-0.114088202,0.110699811,0.099232695,0.12419129
0.024010313,-0.050541384,-0.131315788,0.0710779
0.248802424,0.198291231,-0.107517989,0.072683011
-0.008044458,-0.254482256,-0.232945274,-0.25224649
0.107459572,0.076417001,-0.499332537,0.040599425
-0.112244513,0.263899945,0.453795287,-0.144778845
0.265023196,-0.171997361,0.136848898,-0.057739498
-0.038077091,0.201506027,-0.564892395,0.151314729
-0.038813122,0.262770327,0.361227375,-0.034297261
-0.081822495,-0.309033729,0.210133589,0.042528212
-0.080675813,0.232443586,-0.339389735,-0.151915803
0.003873523,-0.11717224,0.047959711,0.058230234
0.048998243,-0.007081988,-0.005768675,-0.109913101
0.011504172,-0.350026252,-0.433671037,-0.110719909
0.046521338,0.409362443,0.553814846,-0.070509273
-0.070587022,0.044661816,-0.072220216,0.008508061
0.032970876,-0.182659353,0.271270247,-0.092688243
-0.049734612,0.010594077,0.057472486,0.070819582
0.133060317,-0.098269862,0.170580409,-0.018497638
0.184304503,0.407401545,-0.290638074,0.150503451
0.060443381,-0.061243107,-0.17977895,0.11838044
0.279873252,-0.233888232,-0.097235508,-0.003381061
-0.049563272,0.311946546,0.00497537,-0.047875789
0.103078758,0.034774793,0.052449343,0.18560814
-0.014636952,0.37714467,0.177881888,0.055520568
-0.048629496,-0.091145422,-0.284458806,-0.058780005
0.032565554,-0.048596071,-0.101251509,-0.024023199
0.126336712,-0.210012317,-0.03355614,-0.184517664
-0.081456941,-0.024701185,0.090266924,-0.13609379
-0.158533115,0.066531624,-0.423241989,-0.022594469
0.054878635,0.073928832,0.20525759,-0.172968702
-0.011879331,-0.45730865,0.165068231,-0.170352381
-0.000653555,-0.258278593,-0.188455465,-0.100621988
0.123396915,0.172834298,-0.458439373,0.191183749
-0.000476343,-0.010172741,0.067939029,0.010278831
0.002492254,0.135774477,0.400650123,0.081485866
0.149161683,-0.038992696,-0.435602974,0.095604775
0.005892324,0.085291544,0.12798658,0.06646416
0.058264931,-0.186006387,0.031193726,-0.026258848
-0.044016903,0.117856669,-0.10779732,-0.05663684
0.051415247,0.21323779,-0.138535168,-0.023266292
0.028115526,0.163886801,-0.381500326,0.08022625
-0.084926301,-0.069754784,0.522506853,-0.197949842
0.00739903,-0.033765532,-0.367083996,0.054592469
0.011915253,-0.012457378,-0.231957773,-0.068608531
0.135940174,0.094831134,0.187451962,0.132262491
-0.030218596,-0.099985549,0.520800543,-0.010914928
0.101358725,-0.088176882,-0.135342239,-0.188441362
-0.017394152,-0.06516044,0.368275737,-0.033991884
-0.04803329,0.041188314,-0.623514349,0.125795546
0.026930825,0.077366346,0.029422901,0.035033997
-0.008344782,0.072334871,0.59921272,-0.057186437
0.089644703,0.198449363,0.37676025,-0.016553699
0.139553389,0.13762691,-0.14575302,-0.005096245
-0.091649138,-0.274722509,0.299763031,0.061768201
-0.126055013,-0.005466339,0.034919559,0.050799594
-0.054875582,0.252737507,-0.365773941,-0.007619584
-0.014885187,0.146815731,-0.385299671,0.048126623
-0.05736394,0.061116153,0.316862633,0.31283867
0.115539511,-0.392698809,0.184584757,0.056635461
-0.058148578,-0.349263644,0.158724567,-0.193980592
-0.068670567,0.162234287,-0.192553004,0.00925307
-0.153313969,0.267140064,-0.165349832,0.016936733
-0.232406898,-0.268157346,-0.053679877,-0.024102066
-0.042570142,-0.060942211,0.245435644,0.07257059
-0.129120406,-0.472624397,0.131233742,0.04838791
-0.026181359,-0.016217479,-0.199564405,0.00445866
0.326768529,0.01424726,0.352407835,-0.000534282
0.04530766,-0.015506083,-0.056806051,0.027417121
-0.045868395,0.115410464,-0.121796932,-0.004460142
-0.132270458,0.196974892,-0.171701302,0.192598294
-0.007870166,-0.073736793,-0.446897095,-0.07696066
0.21297234,0.048760009,0.266561565,-0.19365727
-0.041421379,0.371355373,0.25580879,0.205603217
0.25672591,-0.086541734,-0.304898931,0.205694105
0.150767058,-0.188249554,-0.002696748,0.00264465
-0.215795531,0.209318865,-0.219274812,0.118176683
0.093720991,-0.119674718,-0.264208135,-0.067322529
0.057272332,0.384646028,-0.013220443,-0.09510697
0.16687296,0.190138017,-0.28234101,0.093608373
-0.122213685,0.011089658,-0.002041397,-0.135478167
0.012465007,0.217298288,0.488799485,-0.131498896
0.018425448,-0.326665513,0.412642353,0.063775786
0.02342671,0.817150683,-0.149091196,-0.014866131
0.118175054,0.061295598,-0.07152209,-0.038318058
0.050338064,-0.081133272,-0.093601027,0.005136701
0.084725432,0.148371303,0.409511538,0.085160823
-0.005102663,0.028301104,0.185389669,-0.11175254
-0.001018463,0.07379341,0.29583474,0.001936865
0.092904118,-0.160829645,-0.129025979,-0.01740777
-0.144198415,-0.642458761,0.427913867,-0.041725494
-0.06692269,0.148905597,0.113774021,0.116303403
-0.004520616,-0.003173396,-0.67970674,0.1180951
-0.008203185,0.067585505,0.165148996,0.051759847
-0.072506318,0.17571991,0.166246806,0.083164653
0.013014285,-0.104062509,0.178953856,-0.025723789
0.063025462,-0.230785465,-0.473046167,0.134113776
0.061987259,-0.145259097,-0.153397004,0.007219688
0.014866383,-0.328256829,-0.129893354,-0.097450882
-0.047454838,0.169963996,-0.308677897,-0.004988538
-0.013226067,-0.118168279,-0.22160403,0.161038339
0.0052715,-0.128302573,0.122771602,0.043378396
0.070675322,0.131657566,0.24670279,-0.021315925
0.027587268,0.034452015,-0.0610116,-0.105845511
-0.149395365,-0.044038767,-0.48577456,0.127042949
-0.02325927,0.102462978,0.077639706,0.073319911
-0.033080443,-0.086321073,0.006777747,0.023739185
0.066984317,-0.185917597,0.725326459,-0.065515365
0.013123164,-0.190305489,0.025455173,-0.028296133
0.098784395,-0.136932085,-0.085054774,0.070572406
0.080377226,0.220132005,0.340177184,-0.137673147
-0.070754832,0.065305488,-0.133954624,-0.052310854
0.032649211,0.057385564,0.113202309,-0.026801089
0.036442426,0.129774329,-0.073665274,-0.048708949
0.036483481,0.017289342,0.182265806,0.191342532
-0.013153608,-0.047926681,-0.40062792,0.114156807
-0.028341789,0.246695739,-0.231765788,-0.012542161
0.229861164,0.343577117,-0.227037552,-0.122564538
0.128884216,-0.217899581,0.164922503,0.014298498
-0.145708343,0.396050433,0.330738644,0.108504463
0.103512711,-0.366388901,0.120493448,0.069955272
-0.019058409,-0.006806984,0.065690149,0.029692291
-0.040398655,-0.185131057,-0.426920649,0.107909942
-0.094615226,-0.113664263,0.293482916,0.048571825
0.053369016,0.148011514,-0.28451482,0.066180369
0.106990652,-0.252708742,-0.081094807,0.049613873
-0.144271108,-0.140799886,0.494426313,0.010045681
-0.071267028,0.110487883,-0.168111321,-0.1597094
-0.001732123,-0.330227534,-0.323739259,0.000946446
0.016899797,-0.091622437,-0.389464846,0.073446079
0.167563952,-0.189717453,-0.268156797,0.014044125
-0.005629469,-0.213408593,-0.203567962,-0.058314049
0.059750185,0.187210107,0.309072561,0.073827345
0.037517558,-0.208545717,0.194058736,-0.021901692
-0.108417098,0.225109564,-0.191712757,-0.006012025
